favorite_food, John likes ice cream
john_married, John is married to Rita.
John, all entries related to John
entity, John like cars
user_input_2025-03-14T19:40:27.878Z,who is John married to?
user_input_2025-03-14T19:45:24.451Z,Who is John married to?
user_input_2025-03-14T19:48:58.104Z,who is john married to?
user_input_2025-03-14T19:49:24.867Z,what is John's favorite food?
user_input_2025-03-14T19:51:11.769Z,what's john's favorite food?
user_input_2025-03-14T19:55:01.063Z,who is John married to?
user_input_2025-03-14T20:01:40.122Z,Who is John married to?
user_input_2025-03-14T20:04:48.239Z,Who is John married to?
user_input_2025-03-14T20:27:21.924Z,what is John's favorite food?
user_input_2025-03-14T20:31:35.143Z,who is John married to?
user_input_2025-03-14T20:37:28.053Z,What is John's favorite food?
user_input_2025-03-14T20:37:47.532Z,Who is John married to?
user_input_2025-03-14T20:38:32.033Z,What is John's favorite food?
